_idx,department,job_level,location,hire_date,tenure_months,performance_rating,salary_band_min,salary_band_mid,salary_band_max,market_benchmark_salary,base_salary,months_since_last_raise,last_merit_increase_pct,_dept_churn,_level_churn,attrition_flag,exit_date,hris_id,payroll_id,bench_id,tax_ref
12,Support,L1 - Junior,Lisbon,2016-11-05,110,3,25296.0,30848.0,36401.0,32658.0,31823.0,16,2.22,0.7,0.2,0,,DF-100012,500012,EMP_00012,DE93000084
13,Data & Analytics,L2 - Mid,Berlin,2022-12-04,37,4,61818.0,75388.0,88958.0,81013.0,74318.0,7,0.85,-0.15,0.05,0,,DF-100013,500013,EMP_00013,DE93000091
14,Data & Analytics,L3 - Senior,Remote-DE,2025-01-02,12,4,81956.0,99946.0,117936.0,96453.0,109847.0,7,8.46,-0.15,-0.05,0,,DF-100014,500014,EMP_00014,DE93000098
15,Finance,L2 - Mid,Lisbon,2024-06-03,19,5,44720.0,54537.0,64353.0,54381.0,53676.0,11,1.75,-0.2,0.05,0,,DF-100015,500015,EMP_00015,DE93000105
16,People/HR,L3 - Senior,Lisbon,2022-10-04,39,4,54308.0,66230.0,78151.0,72284.0,68138.0,20,2.02,-0.2,-0.05,0,,DF-100016,500016,EMP_00016,DE93000112
17,Data & Analytics,L5 - Manager,Hamburg,2023-12-03,25,4,129941.0,158465.0,186989.0,156474.0,185998.0,7,2.41,-0.15,-0.15,0,,DF-100017,500017,EMP_00017,DE93000119
18,Operations,L2 - Mid,Munich,2021-09-04,52,4,51489.0,62791.0,74093.0,63189.0,71700.0,13,2.51,0.0,0.05,0,,DF-100018,500018,EMP_00018,DE93000126
19,Data & Analytics,L4 - Lead,Remote-DE,2023-11-03,26,3,101276.0,123508.0,145739.0,119322.0,123889.0,17,6.87,-0.15,-0.1,0,,DF-100019,500019,EMP_00019,DE93000133
20,Operations,L1 - Junior,Remote-DE,2022-10-04,39,4,34127.0,41618.0,49110.0,41882.0,37069.0,25,1.0,0.0,0.2,1,2025-07-23,DF-100020,500020,EMP_00020,DE93000140
21,Customer Success,L3 - Senior,Munich,2025-10-02,3,3,73716.0,89897.0,106078.0,85781.0,83290.0,3,3.14,0.45,-0.05,0,,DF-100021,500021,EMP_00021,DE93000147
22,Sales,L3 - Senior,Lisbon,2024-12-02,13,4,63179.0,77047.0,90916.0,70104.0,93583.0,30,0.74,0.55,-0.05,0,,DF-100022,500022,EMP_00022,DE93000154
23,Product,L4 - Lead,Hamburg,2023-12-03,25,2,109667.0,133741.0,157814.0,137811.0,144220.0,5,3.72,-0.1,-0.1,0,,DF-100023,500023,EMP_00023,DE93000161
24,Product,L1 - Junior,Remote-DE,2023-03-05,34,3,46261.0,56416.0,66571.0,57805.0,57300.0,9,4.83,-0.1,0.2,0,,DF-100024,500024,EMP_00024,DE93000168
25,Data & Analytics,L1 - Junior,Remote-DE,2020-01-05,72,4,44931.0,54794.0,64657.0,50527.0,50579.0,16,0.71,-0.15,0.2,0,,DF-100025,500025,EMP_00025,DE93000175
26,People/HR,L6 - Director,London,2023-06-04,31,3,143902.0,175491.0,207079.0,171902.0,176419.0,14,7.14,-0.2,-0.2,0,,DF-100026,500026,EMP_00026,DE93000182
27,Sales,L3 - Senior,Hamburg,2018-01-05,96,3,78786.0,96080.0,113374.0,98286.0,79066.0,19,1.42,0.55,-0.05,1,2024-08-28,DF-100027,500027,EMP_00027,DE93000189
28,Support,L2 - Mid,Lisbon,2022-04-04,45,3,35916.0,43801.0,51685.0,47411.0,51449.0,16,5.86,0.7,0.05,0,,DF-100028,500028,EMP_00028,DE93000196
29,Support,L2 - Mid,Remote-DE,2020-02-04,71,5,40585.0,49493.0,58402.0,48833.0,53397.0,24,2.26,0.7,0.05,0,,DF-100029,500029,EMP_00029,DE93000203
30,Product,L5 - Manager,London,2024-11-02,14,4,151554.0,184822.0,218090.0,175780.0,196700.0,6,2.86,-0.1,-0.15,0,,DF-100030,500030,EMP_00030,DE93000210
31,Product,L2 - Mid,Remote-DE,2022-05-05,44,2,59489.0,72548.0,85606.0,72914.0,74774.0,1,3.02,-0.1,0.05,0,,DF-100031,500031,EMP_00031,DE93000217
32,Engineering,L1 - Junior,Remote-DE,2020-06-05,67,3,48032.0,58575.0,69119.0,61912.0,55204.0,15,4.74,-0.15,0.2,1,2024-07-22,DF-100032,500032,EMP_00032,DE93000224
33,Sales,L1 - Junior,Munich,2019-01-05,84,3,46370.0,56549.0,66727.0,56054.0,50515.0,9,4.6,0.55,0.2,1,2025-11-10,DF-100033,500033,EMP_00033,DE93000231
34,Sales,L6 - Director,Remote-DE,2023-09-03,28,1,145282.0,177174.0,209065.0,206041.0,187070.0,23,1.31,0.55,-0.2,0,,DF-100034,500034,EMP_00034,DE93000238
35,Customer Success,L4 - Lead,Hamburg,2022-01-03,48,4,84454.0,102992.0,121531.0,106162.0,94748.0,5,0.0,0.45,-0.1,1,2025-12-01,DF-100035,500035,EMP_00035,DE93000245
36,Data & Analytics,L4 - Lead,Munich,2022-01-03,48,3,114104.0,139152.0,164199.0,141384.0,149814.0,12,4.59,-0.15,-0.1,0,,DF-100036,500036,EMP_00036,DE93000252
37,Operations,L3 - Senior,Munich,2025-03-03,10,4,68031.0,82965.0,97898.0,71390.0,89902.0,0,2.84,0.0,-0.05,0,,DF-100037,500037,EMP_00037,DE93000259
38,Operations,L3 - Senior,Remote-DE,2023-02-02,35,3,64002.0,78051.0,92100.0,85446.0,77507.0,10,1.24,0.0,-0.05,0,,DF-100038,500038,EMP_00038,DE93000266
39,Data & Analytics,L3 - Senior,Lisbon,2022-03-05,46,2,67892.0,82795.0,97698.0,76764.0,86073.0,3,6.06,-0.15,-0.05,0,,DF-100039,500039,EMP_00039,DE93000273
40,Product,L6 - Director,Berlin,2022-06-04,43,4,160474.0,195701.0,230927.0,200203.0,191967.0,11,1.25,-0.1,-0.2,0,,DF-100040,500040,EMP_00040,DE93000280
41,Support,L5 - Manager,Munich,2016-07-07,114,3,89309.0,108914.0,128518.0,123788.0,112743.0,14,6.35,0.7,-0.15,0,,DF-100041,500041,EMP_00041,DE93000287
42,Support,L3 - Senior,Berlin,2025-01-02,12,3,55631.0,67842.0,80054.0,57998.0,56972.0,10,8.07,0.7,-0.05,1,2025-11-28,DF-100042,500042,EMP_00042,DE93000294
43,Support,L2 - Mid,Remote-DE,2023-12-03,25,3,41328.0,50400.0,59472.0,52584.0,51341.0,7,4.21,0.7,0.05,1,2025-07-31,DF-100043,500043,EMP_00043,DE93000301
44,Customer Success,L3 - Senior,Lisbon,2024-08-03,17,4,56866.0,69348.0,81831.0,68521.0,68951.0,8,5.53,0.45,-0.05,1,2025-11-09,DF-100044,500044,EMP_00044,DE93000308
45,Engineering,L2 - Mid,Hamburg,2023-11-03,26,2,67232.0,81991.0,96749.0,71480.0,89723.0,5,6.93,-0.15,0.05,0,,DF-100045,500045,EMP_00045,DE93000315
46,Support,L1 - Junior,Hamburg,2024-04-03,21,4,31146.0,37983.0,44819.0,39139.0,46187.0,4,3.61,0.7,0.2,0,,DF-100046,500046,EMP_00046,DE93000322
47,Engineering,L1 - Junior,Berlin,2018-06-06,91,2,48860.0,59586.0,70311.0,63331.0,55451.0,8,6.87,-0.15,0.2,0,,DF-100047,500047,EMP_00047,DE93000329
48,Customer Success,L2 - Mid,Munich,2023-12-03,25,3,54127.0,66008.0,77890.0,73238.0,67726.0,11,5.1,0.45,0.05,0,,DF-100048,500048,EMP_00048,DE93000336
49,Sales,L2 - Mid,Remote-DE,2024-08-03,17,4,54414.0,66359.0,78303.0,58525.0,61097.0,12,3.69,0.55,0.05,0,,DF-100049,500049,EMP_00049,DE93000343
50,Engineering,L2 - Mid,Berlin,2022-08-04,41,4,67176.0,81922.0,96667.0,85113.0,85101.0,13,3.59,-0.15,0.05,0,,DF-100050,500050,EMP_00050,DE93000350
51,People/HR,L2 - Mid,Berlin,2022-07-05,42,3,48293.0,58894.0,69495.0,58603.0,53618.0,9,6.0,-0.2,0.05,0,,DF-100051,500051,EMP_00051,DE93000357
52,Engineering,L5 - Manager,Berlin,2022-09-03,40,4,131076.0,159849.0,188621.0,159088.0,136515.0,15,1.29,-0.15,-0.15,1,2024-09-10,DF-100052,500052,EMP_00052,DE93000364
53,Customer Success,L3 - Senior,Lisbon,2024-12-02,13,3,53503.0,65248.0,76993.0,63906.0,57643.0,24,0.74,0.45,-0.05,0,,DF-100053,500053,EMP_00053,DE93000371
54,Support,L5 - Manager,Lisbon,2025-03-03,10,3,70278.0,85705.0,101132.0,75795.0,101439.0,6,5.83,0.7,-0.15,0,,DF-100054,500054,EMP_00054,DE93000378
55,Operations,L2 - Mid,London,2022-01-03,48,2,57442.0,70051.0,82660.0,66929.0,65620.0,16,0.83,0.0,0.05,1,2024-08-24,DF-100055,500055,EMP_00055,DE93000385
56,Engineering,L3 - Senior,Remote-DE,2021-07-05,54,4,87365.0,106543.0,125720.0,96977.0,97880.0,10,7.1,-0.15,-0.05,0,,DF-100056,500056,EMP_00056,DE93000392
57,Engineering,L2 - Mid,Remote-DE,2019-06-06,79,4,65556.0,79946.0,94337.0,77643.0,75647.0,0,7.42,-0.15,0.05,0,,DF-100057,500057,EMP_00057,DE93000399
58,Sales,L3 - Senior,Hamburg,2021-12-04,49,5,78922.0,96246.0,113570.0,88745.0,94403.0,5,5.6,0.55,-0.05,0,,DF-100058,500058,EMP_00058,DE93000406
59,Sales,L2 - Mid,Munich,2024-01-03,24,2,63278.0,77168.0,91058.0,78056.0,63706.0,12,7.54,0.55,0.05,1,2025-10-16,DF-100059,500059,EMP_00059,DE93000413
60,Data & Analytics,L1 - Junior,Berlin,2025-07-03,6,5,45677.0,55704.0,65731.0,54442.0,62512.0,0,3.52,-0.15,0.2,0,,DF-100060,500060,EMP_00060,DE93000420
61,Data & Analytics,L2 - Mid,Lisbon,2022-09-03,40,2,51819.0,63194.0,74569.0,66666.0,51819.0,6,5.87,-0.15,0.05,1,2024-10-07,DF-100061,500061,EMP_00061,DE93000427
62,People/HR,L2 - Mid,Remote-DE,2021-10-04,51,3,48169.0,58743.0,69317.0,62102.0,57755.0,10,3.33,-0.2,0.05,0,,DF-100062,500062,EMP_00062,DE93000434
63,Support,L1 - Junior,Remote-DE,2020-11-04,62,3,29972.0,36551.0,43130.0,35922.0,37708.0,9,2.64,0.7,0.2,0,,DF-100063,500063,EMP_00063,DE93000441
64,Engineering,L2 - Mid,Berlin,2023-05-05,32,3,67773.0,82650.0,97527.0,76686.0,80608.0,8,2.38,-0.15,0.05,0,,DF-100064,500064,EMP_00064,DE93000448
65,Sales,L2 - Mid,Munich,2023-09-03,28,4,63386.0,77300.0,91214.0,77234.0,69235.0,4,5.57,0.55,0.05,0,,DF-100065,500065,EMP_00065,DE93000455
66,Finance,L1 - Junior,Hamburg,2019-02-04,83,3,37565.0,45810.0,54056.0,42851.0,38899.0,18,1.92,-0.2,0.2,1,2025-10-04,DF-100066,500066,EMP_00066,DE93000462
67,Marketing,L1 - Junior,Munich,2021-05-05,56,3,39114.0,47700.0,56286.0,48228.0,49038.0,4,0.0,0.1,0.2,0,,DF-100067,500067,EMP_00067,DE93000469
68,Support,L3 - Senior,London,2022-02-03,47,5,66519.0,81120.0,95722.0,91328.0,88732.0,8,4.22,0.7,-0.05,0,,DF-100068,500068,EMP_00068,DE93000476
69,Customer Success,L3 - Senior,Lisbon,2021-10-04,51,3,57490.0,70110.0,82729.0,74306.0,63602.0,21,2.19,0.45,-0.05,0,,DF-100069,500069,EMP_00069,DE93000483
70,Engineering,L1 - Junior,Hamburg,2018-03-07,94,4,49282.0,60100.0,70918.0,54716.0,56731.0,22,1.88,-0.15,0.2,0,,DF-100070,500070,EMP_00070,DE93000490
71,Product,L1 - Junior,Remote-DE,2023-05-05,32,2,45703.0,55735.0,65767.0,50653.0,56074.0,24,2.4,-0.1,0.2,0,,DF-100071,500071,EMP_00071,DE93000497
72,People/HR,L4 - Lead,Berlin,2025-02-01,11,1,81010.0,98793.0,116576.0,93633.0,97289.0,13,0.63,-0.2,-0.1,0,,DF-100072,500072,EMP_00072,DE93000504
73,Support,L1 - Junior,Lisbon,2022-07-05,42,4,25840.0,31513.0,37185.0,29122.0,28828.0,21,2.56,0.7,0.2,1,2024-10-29,DF-100073,500073,EMP_00073,DE93000511
74,Operations,L2 - Mid,Berlin,2024-03-04,22,4,47541.0,57977.0,68413.0,59003.0,54599.0,15,3.4,0.0,0.05,0,,DF-100074,500074,EMP_00074,DE93000518
75,Product,L5 - Manager,Munich,2025-08-02,5,4,138178.0,168510.0,198842.0,143543.0,148771.0,5,3.96,-0.1,-0.15,0,,DF-100075,500075,EMP_00075,DE93000525
76,Marketing,L3 - Senior,Remote-DE,2024-09-02,16,1,64326.0,78446.0,92566.0,74311.0,75443.0,22,3.15,0.1,-0.05,0,,DF-100076,500076,EMP_00076,DE93000532
77,Operations,L2 - Mid,Remote-DE,2010-05-10,188,5,46672.0,56918.0,67163.0,58374.0,57670.0,9,6.14,0.0,0.05,0,,DF-100077,500077,EMP_00077,DE93000539
78,Customer Success,L1 - Junior,Hamburg,2022-04-04,45,2,37600.0,45854.0,54108.0,46934.0,45919.0,17,2.24,0.45,0.2,1,2025-06-08,DF-100078,500078,EMP_00078,DE93000546
79,Marketing,L4 - Lead,Hamburg,2024-04-03,21,5,88698.0,108168.0,127639.0,105087.0,93534.0,15,2.18,0.1,-0.1,1,2025-12-05,DF-100079,500079,EMP_00079,DE93000553
80,Support,L2 - Mid,Munich,2023-05-05,32,5,45450.0,55426.0,65403.0,55025.0,54192.0,19,0.79,0.7,0.05,0,,DF-100080,500080,EMP_00080,DE93000560
81,Engineering,L1 - Junior,Hamburg,2024-09-02,16,3,48776.0,59482.0,70189.0,52387.0,48776.0,11,4.28,-0.15,0.2,0,,DF-100081,500081,EMP_00081,DE93000567
82,People/HR,L3 - Senior,Remote-DE,2023-01-03,36,2,64342.0,78466.0,92590.0,80606.0,66320.0,23,1.18,-0.2,-0.05,1,2025-05-06,DF-100082,500082,EMP_00082,DE93000574
83,People/HR,L1 - Junior,Hamburg,2021-12-04,49,4,35432.0,43209.0,50987.0,44410.0,39935.0,19,2.61,-0.2,0.2,1,2024-10-11,DF-100083,500083,EMP_00083,DE93000581
84,Sales,L2 - Mid,Hamburg,2023-01-03,36,3,57293.0,69869.0,82446.0,65629.0,67630.0,13,7.96,0.55,0.05,0,,DF-100084,500084,EMP_00084,DE93000588
85,Customer Success,L2 - Mid,Munich,2018-05-07,92,3,53991.0,65843.0,77695.0,71214.0,68818.0,17,1.9,0.45,0.05,0,,DF-100085,500085,EMP_00085,DE93000595
86,Engineering,L1 - Junior,Lisbon,2022-08-04,41,4,41059.0,50072.0,59085.0,54279.0,52549.0,16,0.0,-0.15,0.2,0,,DF-100086,500086,EMP_00086,DE93000602
87,Marketing,L2 - Mid,Munich,2019-06-06,79,4,54500.0,66464.0,78427.0,63151.0,58676.0,27,1.68,0.1,0.05,1,2024-08-14,DF-100087,500087,EMP_00087,DE93000609
88,Data & Analytics,L5 - Manager,Berlin,2023-10-04,27,2,123002.0,150002.0,177002.0,135672.0,149464.0,19,1.71,-0.15,-0.15,0,,DF-100088,500088,EMP_00088,DE93000616
89,Support,L2 - Mid,Lisbon,2024-01-03,24,3,34793.0,42430.0,50068.0,45711.0,37975.0,16,5.13,0.7,0.05,1,2025-11-06,DF-100089,500089,EMP_00089,DE93000623
90,Product,L3 - Senior,London,2023-11-03,26,3,100839.0,122975.0,145110.0,125825.0,105568.0,19,2.86,-0.1,-0.05,0,,DF-100090,500090,EMP_00090,DE93000630
91,Marketing,L2 - Mid,Remote-DE,2021-03-05,58,3,50114.0,61115.0,72116.0,61675.0,61862.0,9,3.37,0.1,0.05,0,,DF-100091,500091,EMP_00091,DE93000637
92,Product,L1 - Junior,Remote-DE,2025-02-01,11,3,45003.0,54881.0,64760.0,56337.0,59065.0,7,0.89,-0.1,0.2,0,,DF-100092,500092,EMP_00092,DE93000644
93,Support,L1 - Junior,Hamburg,2022-08-04,41,5,31276.0,38141.0,45007.0,39049.0,40524.0,17,0.0,0.7,0.2,0,,DF-100093,500093,EMP_00093,DE93000651
94,Support,L1 - Junior,Remote-DE,2024-03-04,22,4,30861.0,37635.0,44409.0,38169.0,42140.0,10,4.2,0.7,0.2,0,,DF-100094,500094,EMP_00094,DE93000658
95,Sales,L5 - Manager,Lisbon,2023-01-03,36,5,94317.0,115021.0,135725.0,120645.0,126312.0,8,3.12,0.55,-0.15,0,,DF-100095,500095,EMP_00095,DE93000665
96,Finance,L6 - Director,Remote-DE,2025-04-03,9,3,129358.0,157754.0,186149.0,184754.0,159497.0,9,5.02,-0.2,-0.2,1,2025-09-07,DF-100096,500096,EMP_00096,DE93000672
97,Support,L2 - Mid,Munich,2023-05-05,32,2,45046.0,54934.0,64822.0,52456.0,61203.0,16,7.09,0.7,0.05,0,,DF-100097,500097,EMP_00097,DE93000679
98,Finance,L1 - Junior,Hamburg,2019-08-06,77,2,38106.0,46471.0,54836.0,47209.0,42195.0,10,7.07,-0.2,0.2,0,,DF-100098,500098,EMP_00098,DE93000686
99,Product,L3 - Senior,Hamburg,2025-05-03,8,3,86783.0,105833.0,124883.0,95476.0,101477.0,6,3.01,-0.1,-0.05,0,,DF-100099,500099,EMP_00099,DE93000693
100,Support,L3 - Senior,Lisbon,2020-10-04,63,2,48498.0,59144.0,69790.0,61191.0,68558.0,20,2.17,0.7,-0.05,0,,DF-100100,500100,EMP_00100,DE93000700
101,Support,L2 - Mid,London,2021-03-05,58,5,48440.0,59073.0,69707.0,64464.0,54342.0,12,1.9,0.7,0.05,1,2025-07-16,DF-100101,500101,EMP_00101,DE93000707
102,Product,L4 - Lead,Munich,2022-04-04,45,1,114882.0,140100.0,165318.0,130405.0,145072.0,9,3.73,-0.1,-0.1,0,,DF-100102,500102,EMP_00102,DE93000714
103,Support,L4 - Lead,Munich,2023-10-04,27,4,76769.0,93621.0,110473.0,87761.0,76769.0,22,1.55,0.7,-0.1,1,2025-06-19,DF-100103,500103,EMP_00103,DE93000721
104,Data & Analytics,L3 - Senior,Berlin,2025-09-02,4,2,83452.0,101771.0,120090.0,85246.0,119403.0,4,5.58,-0.15,-0.05,0,,DF-100104,500104,EMP_00104,DE93000728
105,Product,L1 - Junior,London,2024-04-03,21,5,54517.0,66484.0,78451.0,67753.0,72935.0,14,4.2,-0.1,0.2,0,,DF-100105,500105,EMP_00105,DE93000735
106,People/HR,L1 - Junior,Hamburg,2024-11-02,14,1,35948.0,43839.0,51730.0,39214.0,42714.0,28,3.12,-0.2,0.2,0,,DF-100106,500106,EMP_00106,DE93000742
107,Engineering,L3 - Senior,Berlin,2025-06-03,7,3,88189.0,107548.0,126907.0,106909.0,96730.0,7,4.93,-0.15,-0.05,0,,DF-100107,500107,EMP_00107,DE93000749
108,Sales,L2 - Mid,Remote-DE,2023-11-03,26,3,57874.0,70578.0,83282.0,63778.0,70502.0,17,3.92,0.55,0.05,0,,DF-100108,500108,EMP_00108,DE93000756
109,Customer Success,L5 - Manager,Munich,2024-10-02,15,3,110446.0,134690.0,158935.0,123112.0,161307.0,7,1.55,0.45,-0.15,0,,DF-100109,500109,EMP_00109,DE93000763
110,Product,L1 - Junior,Lisbon,2015-07-08,126,5,38208.0,46595.0,54982.0,43726.0,43249.0,19,1.29,-0.1,0.2,0,,DF-100110,500110,EMP_00110,DE93000770
111,Operations,L1 - Junior,Munich,2019-08-06,77,5,35848.0,43717.0,51587.0,40059.0,35848.0,21,2.01,0.0,0.2,1,2025-10-21,DF-100111,500111,EMP_00111,DE93000777
112,Engineering,L2 - Mid,Hamburg,2024-04-03,21,3,66870.0,81549.0,96227.0,84781.0,86148.0,6,4.37,-0.15,0.05,0,,DF-100112,500112,EMP_00112,DE93000784
113,Support,L1 - Junior,Hamburg,2024-11-02,14,4,31877.0,38875.0,45872.0,42350.0,44956.0,10,6.29,0.7,0.2,0,,DF-100113,500113,EMP_00113,DE93000791
114,Operations,L5 - Manager,Hamburg,2024-08-03,17,3,92948.0,113351.0,133754.0,125386.0,124403.0,9,2.94,0.0,-0.15,0,,DF-100114,500114,EMP_00114,DE93000798
115,Sales,L1 - Junior,Munich,2024-02-02,23,5,46369.0,56548.0,66727.0,59698.0,57103.0,13,2.53,0.55,0.2,0,,DF-100115,500115,EMP_00115,DE93000805
116,Support,L3 - Senior,Munich,2024-05-03,20,4,62371.0,76063.0,89754.0,78049.0,73188.0,10,7.44,0.7,-0.05,0,,DF-100116,500116,EMP_00116,DE93000812
117,Engineering,L3 - Senior,Lisbon,2022-09-03,40,4,70985.0,86567.0,102149.0,86933.0,93511.0,13,8.21,-0.15,-0.05,0,,DF-100117,500117,EMP_00117,DE93000819
118,Data & Analytics,L1 - Junior,London,2025-06-03,7,4,51137.0,62362.0,73587.0,66053.0,63982.0,0,2.27,-0.15,0.2,0,,DF-100118,500118,EMP_00118,DE93000826
119,Sales,L1 - Junior,London,2024-11-02,14,2,50541.0,61635.0,72730.0,50933.0,60075.0,0,3.5,0.55,0.2,0,,DF-100119,500119,EMP_00119,DE93000833
120,Finance,L4 - Lead,Hamburg,2022-06-04,43,4,92879.0,113267.0,133655.0,111658.0,134231.0,21,1.07,-0.2,-0.1,0,,DF-100120,500120,EMP_00120,DE93000840
121,Sales,L3 - Senior,Munich,2023-07-04,30,5,84957.0,103607.0,122256.0,92083.0,106666.0,2,2.05,0.55,-0.05,0,,DF-100121,500121,EMP_00121,DE93000847
122,Sales,L4 - Lead,Lisbon,2023-09-03,28,3,83616.0,101971.0,120325.0,121320.0,108733.0,16,5.08,0.55,-0.1,1,2024-11-17,DF-100122,500122,EMP_00122,DE93000854
123,Operations,L5 - Manager,Munich,2023-10-04,27,4,99262.0,121051.0,142840.0,120126.0,132227.0,6,4.91,0.0,-0.15,0,,DF-100123,500123,EMP_00123,DE93000861
124,Product,L2 - Mid,Lisbon,2020-12-04,61,3,52817.0,64411.0,76005.0,62708.0,62762.0,19,1.38,-0.1,0.05,0,,DF-100124,500124,EMP_00124,DE93000868
125,Operations,L1 - Junior,Lisbon,2022-05-05,44,3,29605.0,36104.0,42603.0,38199.0,30591.0,13,4.93,0.0,0.2,1,2024-10-28,DF-100125,500125,EMP_00125,DE93000875
126,Customer Success,L4 - Lead,Lisbon,2023-08-04,29,2,73298.0,89387.0,105477.0,87401.0,73298.0,14,6.7,0.45,-0.1,1,2025-03-22,DF-100126,500126,EMP_00126,DE93000882
127,Finance,L2 - Mid,Lisbon,2021-11-03,50,3,45690.0,55719.0,65749.0,57522.0,52672.0,17,1.38,-0.2,0.05,0,,DF-100127,500127,EMP_00127,DE93000889
128,Engineering,L1 - Junior,Munich,2021-09-04,52,4,51060.0,62268.0,73477.0,63384.0,66629.0,17,3.36,-0.15,0.2,0,,DF-100128,500128,EMP_00128,DE93000896
129,People/HR,L5 - Manager,Hamburg,2020-10-04,63,3,96401.0,117562.0,138723.0,125754.0,142955.0,12,3.78,-0.2,-0.15,0,,DF-100129,500129,EMP_00129,DE93000903
130,Sales,L3 - Senior,Remote-DE,2021-06-04,55,3,77457.0,94460.0,111463.0,98789.0,103231.0,8,2.46,0.55,-0.05,0,,DF-100130,500130,EMP_00130,DE93000910
131,Customer Success,L2 - Mid,Berlin,2024-06-03,19,4,47407.0,57814.0,68220.0,62350.0,50545.0,5,7.08,0.45,0.05,1,2025-06-03,DF-100131,500131,EMP_00131,DE93000917
132,Engineering,L6 - Director,Berlin,2022-02-03,47,4,164726.0,200886.0,237045.0,196308.0,188873.0,11,7.13,-0.15,-0.2,0,,DF-100132,500132,EMP_00132,DE93000924
133,People/HR,L3 - Senior,Hamburg,2024-09-02,16,4,66862.0,81539.0,96216.0,77403.0,89453.0,19,1.71,-0.2,-0.05,0,,DF-100133,500133,EMP_00133,DE93000931
134,Customer Success,L1 - Junior,Remote-DE,2023-08-04,29,3,35975.0,43872.0,51769.0,43831.0,48847.0,5,3.42,0.45,0.2,0,,DF-100134,500134,EMP_00134,DE93000938
135,Sales,L2 - Mid,Lisbon,2021-01-03,60,3,49138.0,59925.0,70711.0,56529.0,64622.0,15,4.56,0.55,0.05,0,,DF-100135,500135,EMP_00135,DE93000945
136,Product,L2 - Mid,Remote-DE,2025-01-02,12,3,61905.0,75494.0,89083.0,77200.0,67093.0,4,3.07,-0.1,0.05,0,,DF-100136,500136,EMP_00136,DE93000952
137,Sales,L1 - Junior,Berlin,2016-11-05,110,3,42853.0,52260.0,61667.0,52102.0,42853.0,14,5.3,0.55,0.2,1,2024-09-14,DF-100137,500137,EMP_00137,DE93000959
138,Sales,L1 - Junior,London,2023-08-04,29,1,49079.0,59852.0,70625.0,58531.0,67767.0,20,2.64,0.55,0.2,0,,DF-100138,500138,EMP_00138,DE93000966
139,Customer Success,L2 - Mid,Berlin,2016-10-06,111,5,50697.0,61826.0,72955.0,56785.0,67943.0,18,0.83,0.45,0.05,0,,DF-100139,500139,EMP_00139,DE93000973
140,People/HR,L4 - Lead,Hamburg,2023-09-03,28,3,84893.0,103528.0,122163.0,113412.0,102433.0,9,5.3,-0.2,-0.1,1,2025-10-20,DF-100140,500140,EMP_00140,DE93000980
